country_iso3,hazard,version,doc_title,doc_url,analysis_ref,source,note
SOM,drought,2019,"Anticipatory Action Plan: Drought, Somalia (version 23 June 2020, vs16)",https://anticipatory-action-toolkit.unocha.org/wp-content/uploads/2021/07/Somalia-Anticipatory-Action-Plan_vs16.pdf,pa-anticipatory-action@develop:analyses/som/notebooks/,ocha-web,plan doc dated 2020-06-23 for the 2019/20 framework; monorepo: IPC trigger endorsed early 2020 using ML1 forecasts
BGD,flood,2020-06-26,"Anticipatory Humanitarian Action Pilot: 2020 Monsoon Floods, Bangladesh",https://reliefweb.int/report/bangladesh/anticipatory-humanitarian-action-pilot-2020-monsoon-floods-bangladesh,pa-anticipatory-action@develop:analyses/bgd/trigger_development/,ocha-web,KB page cites the 2021 doc URL for this version; corrected to the true 2020 pilot doc (web sweep)
ETH,drought,2020-12-07,,,pa-anticipatory-action@develop:analyses/eth/notebooks/,pa-monorepo,README: no analytical changes after Dec 2020
NPL,flood,2021,"Nepal Anticipatory Action Framework (pilot)",https://reliefweb.int/report/nepal/anticipatory-action-framework-nepal-pilot,pa-anticipatory-action@develop:analyses/npl/,ocha-web,endorsed Jul 2021; readiness fired Aug 2021; a 2022 framework is implied by the 2023 addendum + 2022 pamphlet but no distinct doc was ever linked
MWI,drought,2021,"AA Framework Malawi Dry Spells 2021-2022",https://reliefweb.int/report/malawi/anticipatory-action-framework-malawi-dry-spells-2021-2022,pa-anticipatory-action@develop:analyses/mwi/dryspells_trigger/,ocha-web,dry-spells obs trigger live-monitored 2021-22 and 2022-23 seasons
SSD,flood,2022-05,,,pa-anticipatory-action@develop:analyses/ssd/flood_trigger/,pa-monorepo,not a trigger framework: analysis supported an early-action allocation of ~$19M in May 2022 (README Jan 2023; OCHA press release 2022-05-07)
BGD,flood,2021-06-07,"Bangladesh 2021 Anticipatory Action Framework (Monsoon Floods)",https://reliefweb.int/report/bangladesh/anticipatory-action-framework-bangladesh-monsoon-floods,pa-anticipatory-action@develop:analyses/bgd/trigger_development/08_glofas_model_update.md,ocha-web,2021 version (the KB misfiles this URL under 2020-06-26); GloFAS v2->v3 trigger revalidation in the monorepo May-Sep 2021
PHL,storm,2021-09-15,"Anticipatory Action Framework Philippines 2021-2022",https://reliefweb.int/report/philippines/anticipatory-action-framework-philippines-2021-2022,,ocha-web,pre-dates the KB's earliest PHL version (2022 revision)
NER,drought,2022-01-05,"Cadre de l'AA pilote au Niger : secheresse - version approuvee du 5 janvier 2022",https://reliefweb.int/report/niger/cadre-de-l-action-anticipatoire-pilote-au-niger-s-cheresse-version-approv-e-du-5,pa-anticipatory-action@develop:analyses/ner/NER_trigger_report.Rmd,ocha-web,endorsed Dec 2021 per monorepo README; report budgets T1 $5.25m (Jan-Mar) / T2 $9.5m / T3 obs $9.5m
BFA,drought,2022-03-09,"Cadre de l'AA pilote de la secheresse au Burkina Faso (2022)",https://reliefweb.int/report/burkina-faso/cadre-de-l-action-anticipatoire-pilote-de-la-s-cheresse-au-burkina-faso,pa-anticipatory-action@develop:analyses/bfa/drought_trigger/,ocha-web,monorepo README STATUS-ENDORSED (Sep 2022); 2023 monitoring thresholds on branch feature/tcd-bfa-2023-monitoring
